INGRESOS Y EGRESOS 2024 - VOLEY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,INGRESOS:,"$3,397,800.00 ",,,,,,,,,,
,,,,,,,,,,,,,
FECHA,MES,DESCRIPCION,MONTO,CATEGORIA,MEDIO DE PAGO,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub14,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Primera,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub12,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub12,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub14,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$7,000.00 ",Sub14,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub14,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub12,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
5/2/2024,febrero,Cuota,"$6,200.00 ",Primera,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub14,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub14,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub18,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub12,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Primera,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Primera,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Mini,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Sub16,Transferencia,,,,,,,,
14/2/2024,febrero,Cuota,"$6,200.00 ",Primera,Transferencia,,,,,,,,
